L	0	0	1477010443349640	0	0	0	0	
R	0	0	0	1477010443349640	0	0	0	0
L	2	0	1477010444349640	2	0	2	0	
R	2	0	2	1477010444349640	2	0	2	0
L	4	0	1477010445349640	4	0	2	0	
R	4	0	2	1477010445349640	4	0	2	0
L	7	0	1477010446349640	7	0	2	0	
R	6	0	2	1477010446349640	7	0	2	0
L	9	1	1477010447349640	9	1	2	0	
R	9	0	3	1477010447349640	9	1	2	0
L	12	2	1477010448349640	11	1	2	1	
R	12	0	3	1477010448349640	11	1	2	1
L	14	2	1477010449349640	14	2	3	1	
R	14	0	3	1477010449349640	14	2	3	1
L	17	3	1477010450349640	16	3	3	1	
R	17	0	3	1477010450349640	16	3	3	1
L	19	4	1477010451349640	19	4	3	1	
R	20	0	3	1477010451349640	19	4	3	1
L	21	5	1477010452349640	22	5	3	1	
R	22	0	3	1477010452349640	22	5	3	1
L	24	6	1477010453349640	24	6	3	1	
R	25	0	3	1477010453349640	24	6	3	1
L	27	7	1477010454349640	27	7	3	1	
R	27	0	3	1477010454349640	27	7	3	1
L	30	8	1477010455349640	29	8	3	1	
R	31	0	3	1477010455349640	29	8	3	1
L	32	10	1477010456349640	32	10	3	1	
R	33	0	3	1477010456349640	32	10	3	1
L	35	11	1477010457349640	35	11	3	1	
R	37	0	3	1477010457349640	35	11	3	1
L	37	12	1477010458349640	37	12	3	1	
R	39	0	3	1477010458349640	37	12	3	1
L	40	13	1477010459349640	40	14	3	1	
R	42	0	3	1477010459349640	40	14	3	1
L	43	15	1477010460349640	43	15	3	1	
R	45	0	3	1477010460349640	43	15	3	1
L	45	17	1477010461349640	45	16	3	1	
R	49	0	3	1477010461349640	45	16	3	1
L	48	17	1477010462349640	48	18	3	1	
R	51	0	3	1477010462349640	48	18	3	1
L	51	19	1477010463349640	51	19	3	1	
R	54	0	3	1477010463349640	51	19	3	1
L	54	20	1477010464349640	53	20	3	1	
R	57	0	3	1477010464349640	53	20	3	1
L	56	21	1477010465349640	56	21	3	1	
R	60	0	3	1477010465349640	56	21	3	1
L	59	22	1477010466349640	59	22	3	1	
R	63	0	3	1477010466349640	59	22	3	1
L	61	23	1477010467349640	61	23	2	1	
R	65	0	3	1477010467349640	61	23	2	1
L	63	23	1477010468349640	64	23	2	1	
R	68	0	3	1477010468349640	64	23	2	1
L	66	24	1477010469349640	66	24	2	1	
R	70	0	2	1477010469349640	66	24	2	1
L	68	24	1477010470349640	68	24	2	0	
R	73	0	3	1477010470349640	68	24	2	0
L	71	25	1477010471349640	71	25	2	0	
R	75	0	2	1477010471349640	71	25	2	0
L	73	25	1477010472349640	73	25	2	0	
R	77	0	2	1477010472349640	73	25	2	0
L	75	25	1477010473349640	75	25	2	0	
R	79	0	2	1477010473349640	75	25	2	0
L	77	25	1477010474349640	77	25	2	0	
R	81	0	2	1477010474349640	77	25	2	0
L	79	25	1477010475349640	79	25	2	0	
R	83	0	2	1477010475349640	79	25	2	0
L	81	25	1477010476349640	81	25	2	0	
R	85	0	1	1477010476349640	81	25	2	0
L	83	25	1477010477349640	83	25	2	0	
R	86	0	1	1477010477349640	83	25	2	0
L	84	25	1477010478349640	84	24	2	0	
